timestamp,method,epochs,lr,weight_decay,alpha,alpha_start,alpha_end,c,auto_scale_c,c_scale,grad_clip,seed,acc,truth_ratio,mia_acc
2025-11-06T10:19:48.353932,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,0,2.0,0.5,1337,0.7398,0.7135629057884216,0.4937
2025-11-06T10:20:48.717804,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,0,2.0,1.0,42,0.887,0.9774954915046692,0.5652999999999999
2025-11-06T10:21:54.347283,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,0,2.0,1.0,1337,0.7408,0.7083085775375366,0.49870000000000003
2025-11-06T10:22:54.810832,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,0,3.0,0.5,42,0.886,0.9750745892524719,0.5689
2025-11-06T10:23:58.066369,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,0,3.0,0.5,1337,0.7488,0.7261398434638977,0.497
2025-11-06T10:24:55.946424,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,0,3.0,1.0,42,0.8872,0.9782020449638367,0.5663999999999999
2025-11-06T10:25:59.655999,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,0,3.0,1.0,1337,0.7432,0.7154191136360168,0.49660000000000004
2025-11-06T10:26:58.909704,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,1,2.0,0.5,42,0.8808,0.974619448184967,0.5676
2025-11-06T10:28:04.787865,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,1,2.0,0.5,1337,0.732,0.7035178542137146,0.49420000000000003
2025-11-06T10:29:04.867681,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,1,2.0,1.0,42,0.8842,0.9777206778526306,0.5667000000000001
2025-11-06T10:30:10.115369,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,1,2.0,1.0,1337,0.742,0.7206470966339111,0.49720000000000003
2025-11-06T10:31:08.133882,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,1,3.0,0.5,42,0.8842,0.9743390679359436,0.5658000000000001
2025-11-06T10:32:13.577615,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,1,3.0,0.5,1337,0.7482,0.7253376841545105,0.4917999999999999
2025-11-06T10:33:12.839928,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,1,3.0,1.0,42,0.8876,0.9779672026634216,0.5688
2025-11-06T10:34:17.617360,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,1,3.0,1.0,1337,0.7336,0.7030680775642395,0.4957
2025-11-06T10:35:17.415230,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,0,2.0,0.5,42,0.8842,0.9832327961921692,0.5780999999999998
2025-11-06T10:36:21.612770,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,0,2.0,0.5,1337,0.872,0.8881940245628357,0.5175000000000001
2025-11-06T10:37:21.918734,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,0,2.0,1.0,42,0.8864,0.9824975728988647,0.5765
2025-11-06T10:38:29.061660,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,0,2.0,1.0,1337,0.8724,0.8881656527519226,0.5123
2025-11-06T10:39:29.440000,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,0,3.0,0.5,42,0.8836,0.9828434586524963,0.577
2025-11-06T10:40:35.191649,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,0,3.0,0.5,1337,0.8688,0.8865824341773987,0.5171
2025-11-06T10:41:35.035646,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,0,3.0,1.0,42,0.8832,0.9832417964935303,0.5786999999999999
2025-11-06T10:42:41.598189,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,0,3.0,1.0,1337,0.8684,0.8865672945976257,0.518
2025-11-06T10:43:44.282351,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,1,2.0,0.5,42,0.886,0.9830906987190247,0.5777
2025-11-06T10:44:50.953615,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,1,2.0,0.5,1337,0.8674,0.8839278221130371,0.5117
2025-11-06T10:45:52.223011,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,1,2.0,1.0,42,0.8844,0.9826475381851196,0.576
2025-11-06T10:46:57.309549,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,1,2.0,1.0,1337,0.864,0.8881223797798157,0.5163000000000001
2025-11-06T10:47:58.020793,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,1,3.0,0.5,42,0.8856,0.9829322099685669,0.5781000000000001
2025-11-06T10:49:00.895508,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,1,3.0,0.5,1337,0.8638,0.8850165009498596,0.518
2025-11-06T10:50:02.342484,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,1,3.0,1.0,42,0.8834,0.9825673699378967,0.5775
2025-11-06T10:51:05.882832,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,2.0,1,3.0,1.0,1337,0.8652,0.8932799100875854,0.5199999999999999
2025-11-06T10:52:05.806569,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,0,2.0,0.5,42,0.886,0.9827233552932739,0.5765
2025-11-06T10:53:09.355536,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,0,2.0,0.5,1337,0.8636,0.8870826363563538,0.5200000000000001
2025-11-06T10:54:07.305466,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,0,2.0,1.0,42,0.8854,0.9824333786964417,0.5763
2025-11-06T10:55:09.677263,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,0,2.0,1.0,1337,0.868,0.8882868885993958,0.517
2025-11-06T10:56:09.590696,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,0,3.0,0.5,42,0.8854,0.9829318523406982,0.5772999999999999
2025-11-06T10:57:15.199374,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,0,3.0,0.5,1337,0.8664,0.8893923759460449,0.5199999999999999
2025-11-06T10:58:15.109651,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,0,3.0,1.0,42,0.8866,0.9826750159263611,0.5761
2025-11-06T10:59:21.088404,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,0,3.0,1.0,1337,0.8642,0.8896254897117615,0.5213
2025-11-06T11:00:23.016573,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,1,2.0,0.5,42,0.8836,0.9829396605491638,0.576
2025-11-06T11:01:26.644082,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,1,2.0,0.5,1337,0.865,0.8817244172096252,0.5158
2025-11-06T11:02:26.133734,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,1,2.0,1.0,42,0.8866,0.9832829236984253,0.5748999999999999
2025-11-06T11:03:30.508237,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,1,2.0,1.0,1337,0.8664,0.8874186277389526,0.5191000000000001
2025-11-06T11:04:31.856808,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,1,3.0,0.5,42,0.8862,0.9831138849258423,0.5778000000000001
2025-11-06T11:05:37.893687,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,1,3.0,0.5,1337,0.8576,0.8843146562576294,0.5214000000000001
2025-11-06T11:06:36.801190,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,1,3.0,1.0,42,0.883,0.9826101660728455,0.5762
2025-11-06T11:07:41.581716,rmu,4,0.0001,0.0001,300.0,-1.0,-1.0,4.0,1,3.0,1.0,1337,0.869,0.8869826197624207,0.5146
2025-11-06T11:08:40.189926,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,0,2.0,0.5,42,0.8844,0.9830646514892578,0.5795
2025-11-06T11:09:44.611560,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,0,2.0,0.5,1337,0.862,0.8860294818878174,0.5168
2025-11-06T11:10:45.381688,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,0,2.0,1.0,42,0.8878,0.9831078052520752,0.579
2025-11-06T11:11:47.684427,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,0,2.0,1.0,1337,0.865,0.8850952386856079,0.5198
2025-11-06T11:12:45.730753,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,0,3.0,0.5,42,0.8848,0.9827947020530701,0.5765999999999999
2025-11-06T11:13:49.543442,rmu,4,0.0001,0.0001,1000.0,-1.0,-1.0,2.0,0,3.0,0.5,1337,0.8674,0.8873246312141418,0.5185
